date,close,volume,closecum
2015-04-07,1.85398540332,1498017792,68.1553856026
2015-04-08,-2.68080156514,1688103936,65.4745840374
2015-04-09,0.334745623067,1643560960,65.8093296605
2015-04-10,2.25685132749,1379220736,68.066180988
2015-04-13,0.977229575502,1541581824,69.0434105635
2015-04-14,-0.734276368466,1465323008,68.309134195
2015-04-15,-4.57662979591,1427599872,63.7325043991
2015-04-16,1.74428962309,1255689088,65.4767940222
2015-04-17,-0.818731810991,1395036160,64.6580622112
2015-04-20,-1.58856164189,1408549760,63.0695005693
2015-04-21,5.82481871029,1337088384,68.8943192796
2015-04-22,2.68267960879,1561809152,71.5769988884
2015-04-23,2.70420743465,1568952064,74.281206323
2015-04-24,1.05554498307,1468057344,75.3367513061
2015-04-27,0.466112076058,1364203648,75.8028633822
2015-04-28,-2.16644458574,1441659776,73.6364187964
2015-04-29,4.07556025468,1389063552,77.7119790511
2015-04-30,2.15783671561,1526724224,79.8698157667
2015-05-04,-0.442214360945,1321488000,79.4276014058
2015-05-05,-2.17235591083,1194258304,77.2552454949
2015-05-06,2.26751544759,1480643968,79.5227609425
2015-05-07,-1.42315737111,1237165056,78.0996035714
2015-05-08,5.97099763475,1693109760,84.0706012062
2015-05-11,5.82574095472,2111185920,89.8963421609
2015-05-12,3.28794374021,2071803904,93.1842859011
2015-05-13,-1.78903706001,1955548416,91.3952488411
2015-05-14,-1.58369899632,1821477888,89.8115498448
2015-05-15,0.119111546276,1627874176,89.930661391
2015-05-18,4.23318978742,1657955968,94.1638511785
2015-05-19,1.35096018494,1648461312,95.5148113634
2015-05-20,2.51326150981,1848362496,98.0280728732
2015-05-21,3.55604523874,1798673664,101.584118112
2015-05-22,-0.305776499661,2295787008,101.278341612
2015-05-25,-1.38516254354,1774719104,99.8931790688
2015-05-26,4.33444754717,1879669504,104.227626616
2015-05-27,0.288594067101,1993355520,104.516220683
2015-05-28,-5.39290809616,2043958272,99.1233125869
2015-05-29,3.20019155358,1736877696,102.32350414
2015-06-01,4.96519180636,1568681344,107.288695947
2015-06-02,4.91535737921,1843613184,112.204053326
2015-06-03,2.0686174675,1910306432,114.272670794
2015-06-04,-0.973921533324,1821564416,113.29874926
2015-06-05,-1.46153118563,1812473728,111.837218075
2015-06-08,-4.66512705645,1787265664,107.172091018
2015-06-09,0.0265349152786,1625106304,107.198625933
2015-06-10,3.48567656609,1757107840,110.684302499
2015-06-11,0.715545079288,1780753664,111.399847579
2015-06-12,0.972699577281,1799034624,112.372547156
2015-06-15,-5.22290788662,1891853312,107.149639269
2015-06-16,-2.85057441409,1843327744,104.299064855
2015-06-17,4.1966552751,1701769344,108.49572013
2015-06-18,-6.32933451686,1582025600,102.166385614
2015-06-19,-5.40947578494,1604885888,96.7569098286
2015-06-23,2.38203836167,1633255552,99.1389481903
2015-06-24,-0.310435658851,1583117696,98.8285125315
2015-06-25,-5.2320976153,1538674304,93.5964149162
2015-06-26,-8.90967105905,1460215808,84.6867438571
2015-06-29,-7.90710318714,1698721280,76.77964067
2015-06-30,6.27736303611,2393574400,83.0570037061
2015-07-01,-3.47015293468,2309057024,79.5868507714
2015-07-02,-3.98969634066,2040523264,75.5971544307
2015-07-03,-1.66231585813,2230035712,73.9348385726
2015-07-06,-4.27778093377,2367180800,69.6570576388
2015-07-07,-5.68675947178,989190336,63.970298167
2015-07-08,0.511860068622,1582831104,64.4821582357
2015-07-09,3.03318586036,934904256,67.515344096
2015-07-10,4.11100459611,695786560,71.6263486921
2015-07-13,5.80407896402,1116585088,77.4304276562
2015-07-14,1.60167032292,1553456128,79.0320979791
2015-07-15,-4.98953063189,2218823936,74.0425673472
2015-07-16,1.43029176099,2189514240,75.4728591082
2015-07-17,5.94760105912,2035392768,81.4204601673
2015-07-20,2.33458267884,2497331968,83.7550428461
2015-07-21,1.21454775001,2057632768,84.9695905962
2015-07-22,0.502133791114,2111686400,85.4717243873
2015-07-23,2.43596526923,2045325056,87.9076896565
2015-07-24,-2.36284144757,2268588288,85.5448482089
2015-07-27,-7.39789580044,2306291712,78.1469524085
2015-07-28,-3.78185363149,2548658176,74.365098777
2015-07-29,4.33402970299,2302800896,78.69912848
2015-07-30,-4.92504264319,2010776704,73.7740858368
2015-07-31,-0.833479424221,1671234688,72.9406064126
2015-08-03,-5.53463126082,1849905280,67.4059751518
2015-08-04,6.12222952536,1757791360,73.5282046771
2015-08-05,-1.73284339331,1824542848,71.7953612838
2015-08-06,-0.843911031034,1214261376,70.9514502528
2015-08-07,3.87222351654,1555336960,74.8236737693
2015-08-10,5.03396788427,1823954432,79.8576416536
2015-08-11,-0.288393545246,1802676992,79.5692481084
2015-08-12,-2.84277516273,1386448640,76.7264729456
2015-08-13,2.36710716394,1361673728,79.0935801096
2015-08-14,-0.381334432085,1508706816,78.7122456775
2015-08-17,-0.289264635818,1348868608,78.4229810417
2015-08-18,-6.08017816537,1915977344,72.3428028763
2015-08-19,2.6563271213,1676219520,74.9991299976
2015-08-20,-2.40690149069,1499696512,72.5922285069
2015-08-21,-6.6510630309,1314084480,65.941165476
2015-08-24,-8.08470191985,972553344,57.8564635561
2015-08-25,-7.5214599552,1205075712,50.335003601
2015-08-26,-5.05699987844,1933968256,45.2780037225
2015-08-27,3.67495645586,1790496128,48.9529601784
2015-08-28,6.25824830288,1904712448,55.2112084812
2015-08-31,-4.0948089547,1447651712,51.1163995265
2015-09-01,-5.37712864916,1409304832,45.7392708774
2015-09-02,-1.82371866286,1725936000,43.9155522145
2015-09-07,2.07484291376,1656899712,45.9903951283
2015-09-08,5.68438374858,1581393152,51.6747788769
2015-09-09,3.52601196508,2202687232,55.200790842
2015-09-10,-1.57352572769,1439233280,53.6272651143
2015-09-11,1.04883582019,1253267968,54.6761009345
2015-09-14,-7.48801871386,1287479936,47.1880822206
2015-09-15,-5.70014699294,1264282496,41.4879352277
2015-09-16,7.15904975475,1364923776,48.6469849824
2015-09-17,0.366100885401,1797404672,49.0130858678
2015-09-18,2.58630722543,1450181248,51.5993930932
2015-09-21,4.8284221534,1714350208,56.4278152466
2015-09-22,-0.0164497417102,1831234688,56.4113655049
2015-09-23,-0.0350215854195,1492260608,56.3763439195
2015-09-24,1.37652250492,1755347328,57.7528664244
2015-09-25,-4.06447564172,1550778368,53.6883907827
2015-09-28,5.01169734168,1430887168,58.7000881244
2015-09-29,-1.1162644298,1520418560,57.5838236946
2015-09-30,-0.757373960422,1135163904,56.8264497342
2015-10-08,5.16826213237,1688110720,61.9947118665
2015-10-09,1.20279722834,1710782208,63.1975090949
2015-10-12,4.51698414188,2135582336,67.7144932367
2015-10-13,1.09017594232,1789628288,68.8046691791
2015-10-14,-1.58135709952,1781133696,67.2233120795
2015-10-15,4.31799871844,2100279936,71.541310798
2015-10-16,1.85054644706,2212893440,73.3918572451
2015-10-19,-0.630086197392,2014779264,72.7617710477
2015-10-20,3.18725476136,2109537536,75.949025809
2015-10-21,-6.62736483957,2652603904,69.3216609695
2015-10-22,4.83627182545,2209272832,74.1579327949
2015-10-23,3.2644627763,2526948864,77.4223955712
2015-10-26,-0.429643595943,2466063872,76.9927519753
2015-10-27,1.4433761415,2093616640,78.4361281168
2015-10-28,-3.07037010747,1901205120,75.3657580093
2015-10-29,0.00164974338441,1405144448,75.3674077527
2015-10-30,-0.28161862103,1740871424,75.0857891316
2015-11-02,-1.86577206664,1584004096,73.220017065
2015-11-03,-0.11381401113,1364659712,73.1062030539
2015-11-04,6.38245234165,2282796544,79.4886553955
2015-11-05,-0.7582274156,2580920832,78.7304279799
2015-11-06,3.76999924358,2414937088,82.5004272235
2015-11-09,2.37494232385,2579844864,84.8753695474
2015-11-10,0.80708532092,2416119040,85.6824548683
2015-11-11,2.11417060091,2765509888,87.7966254692
2015-11-12,-0.762262463735,2831094016,87.0343630055
2015-11-13,-2.62771000446,2500114688,84.406653001
2015-11-16,3.2101782883,2097444352,87.6168312893
2015-11-17,-2.86397427106,2811973888,84.7528570182
2015-11-18,-2.05689843257,1964636544,82.6959585857
2015-11-19,4.11800846622,2256393728,86.8139670519
2015-11-20,1.06101159541,2888869632,87.8749786473
2015-11-23,-1.05612199346,2583966976,86.8188566538
2015-11-24,1.6412104771,1946726400,88.4600671309
2015-11-25,2.89487253058,2470587904,91.3549396615
2015-11-26,-2.22155192853,2375948288,89.133387733
2015-11-27,-6.48200372865,2440385280,82.6513840043
2015-11-30,0.869241946746,2220619520,83.5206259511
2015-12-01,-0.644919648834,1710402176,82.8757063022
2015-12-02,-1.58480348128,1590028544,81.290902821
2015-12-03,3.62994463244,1706528256,84.9208474534
2015-12-04,-0.589411928483,1784463360,84.3314355249
2015-12-07,1.70821878781,1642004608,86.0396543127
2015-12-08,-1.69789883604,1870517248,84.3417554767
2015-12-09,-0.882207174909,1615454592,83.4595483018
2015-12-10,1.03432946814,1632773376,84.4938777699
2015-12-11,-0.898346767417,1364343296,83.5955310025
